deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
3,HYPE/USDC,2026-03-06T16:00:00+00:00,2026-03-06T19:00:00+00:00,LONG_DCA,1,1044.78,19.3855,1.86,3.0
2,ATOM/USDT,2026-03-06T16:00:00+00:00,2026-03-06T21:00:00+00:00,LONG_DCA,1,1045.53,17.2208,1.65,5.0
4,STX/USDT,2026-03-06T16:00:00+00:00,2026-03-06T22:00:00+00:00,LONG_DCA,1,996.05,15.4807,1.55,6.0
8,DOT/USDT,2026-03-06T16:00:00+00:00,2026-03-06T22:00:00+00:00,LONG_DCA,1,756.75,12.6593,1.67,6.0
5,INJ/USDT,2026-03-06T16:00:00+00:00,2026-03-07T00:00:00+00:00,LONG_DCA,1,862.44,30.7205,3.56,8.0
7,NEAR/USDT,2026-03-06T16:00:00+00:00,2026-03-07T00:00:00+00:00,LONG_DCA,1,761.68,12.4349,1.63,8.0
9,HBAR/USDT,2026-03-06T16:00:00+00:00,2026-03-07T00:00:00+00:00,LONG_DCA,1,657.51,35.1233,5.34,8.0
10,TAO/USDT,2026-03-06T16:00:00+00:00,2026-03-07T00:00:00+00:00,LONG_DCA,1,565.02,15.7307,2.78,8.0
14,DOT/USDT,2026-03-06T23:00:00+00:00,2026-03-07T05:00:00+00:00,LONG_DCA,1,760.51,12.7483,1.68,6.0
6,RENDER/USDT,2026-03-06T16:00:00+00:00,2026-03-07T09:00:00+00:00,LONG_DCA,1,789.06,13.0532,1.65,17.0
18,TAO/USDT,2026-03-07T01:00:00+00:00,2026-03-07T09:00:00+00:00,LONG_DCA,1,569.96,11.7269,2.06,8.0
1,ZRO/USDT,2026-03-06T16:00:00+00:00,2026-03-07T09:00:00+00:00,LONG_DCA,1,2250.0,35.8408,1.59,17.0
22,TAO/USDT,2026-03-07T10:00:00+00:00,2026-03-07T13:00:00+00:00,LONG_DCA,1,573.44,15.9067,2.77,3.0
23,TAO/USDT,2026-03-07T14:00:00+00:00,2026-03-07T16:00:00+00:00,LONG_DCA,1,578.18,11.5308,1.99,2.0
17,HBAR/USDT,2026-03-07T01:00:00+00:00,2026-03-08T00:00:00+00:00,LONG_DCA,1,668.31,30.1882,4.52,23.0
20,ZRO/USDT,2026-03-07T10:00:00+00:00,2026-03-08T07:00:00+00:00,LONG_DCA,1,2261.62,53.9311,2.38,21.0
16,NEAR/USDT,2026-03-07T01:00:00+00:00,2026-03-08T10:00:00+00:00,LONG_DCA,2,1301.65,25.8151,1.98,33.0
26,ZRO/USDT,2026-03-08T08:00:00+00:00,2026-03-08T11:00:00+00:00,LONG_DCA,1,2277.66,45.091,1.98,3.0
21,RENDER/USDT,2026-03-07T10:00:00+00:00,2026-03-08T19:00:00+00:00,LONG_DCA,2,1348.53,20.3642,1.51,33.0
25,HBAR/USDT,2026-03-08T01:00:00+00:00,2026-03-09T00:00:00+00:00,LONG_DCA,1,677.32,44.6971,6.6,23.0
28,TAO/USDT,2026-03-09T02:00:00+00:00,2026-03-09T03:00:00+00:00,LONG_DCA,1,1068.77,27.0008,2.53,1.0
30,PENDLE/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,927.31,21.3032,2.3,3.0
31,STX/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,910.14,15.5968,1.71,3.0
32,DOT/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,902.66,23.9819,2.66,3.0
33,INJ/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,846.29,20.8419,2.46,3.0
34,ENS/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,781.13,20.2345,2.59,3.0
35,HYPE/USDC,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,745.46,11.6073,1.56,3.0
36,ATOM/USDT,2026-03-09T02:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,709.52,13.3086,1.88,3.0
43,HYPE/USDC,2026-03-09T06:00:00+00:00,2026-03-09T09:00:00+00:00,LONG_DCA,1,748.9,15.1233,2.02,3.0
