deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
27,HBAR/USDT,2026-03-10T01:00:00+00:00,2026-03-02T15:00:00+00:00,LONG_DCA,2,1266.62,18.1707,1.43,-178.0
4,HBAR/USDT,2026-03-02T18:00:00+00:00,2026-03-03T00:00:00+00:00,LONG_DCA,1,600.0,10.0729,1.68,6.0
3,LTC/USDT,2026-03-02T18:00:00+00:00,2026-03-04T00:00:00+00:00,LONG_DCA,1,600.0,15.7802,2.63,30.0
6,HBAR/USDT,2026-03-03T01:00:00+00:00,2026-03-04T00:00:00+00:00,LONG_DCA,1,602.99,44.0137,7.3,23.0
5,ADA/USDT,2026-03-02T18:00:00+00:00,2026-03-04T00:00:00+00:00,LONG_DCA,2,1019.96,76.6029,7.51,30.0
1,SOL/USDT,2026-03-02T18:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,2,1019.96,56.2765,5.52,38.0
7,LTC/USDT,2026-03-04T01:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,1,603.12,19.0375,3.16,7.0
8,HBAR/USDT,2026-03-04T01:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,1,611.75,28.0319,4.58,7.0
9,ADA/USDT,2026-03-04T01:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,1,615.26,26.6462,4.33,7.0
30,HBAR/USDT,2026-03-02T16:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,2,1026.08,35.747,3.48,40.0
2,XRP/USDT,2026-03-02T18:00:00+00:00,2026-03-04T09:00:00+00:00,LONG_DCA,2,1019.96,32.667,3.2,39.0
10,SOL/USDT,2026-03-04T09:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,1,611.19,24.2805,3.97,6.0
14,XRP/USDT,2026-03-04T10:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,1,606.47,37.7096,6.22,5.0
12,HBAR/USDT,2026-03-04T09:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,1,617.32,18.9119,3.06,6.0
13,ADA/USDT,2026-03-04T09:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,1,620.55,28.1798,4.54,6.0
15,SOL/USDT,2026-03-04T16:00:00+00:00,2026-03-04T19:00:00+00:00,LONG_DCA,1,616.01,16.3954,2.66,3.0
11,LTC/USDT,2026-03-04T09:00:00+00:00,2026-03-04T19:00:00+00:00,LONG_DCA,1,606.89,22.0544,3.63,10.0
18,ADA/USDT,2026-03-04T16:00:00+00:00,2026-03-05T00:00:00+00:00,LONG_DCA,1,626.15,27.0238,4.32,8.0
21,ADA/USDT,2026-03-05T01:00:00+00:00,2026-03-05T12:00:00+00:00,LONG_DCA,1,631.52,15.0022,2.38,11.0
17,HBAR/USDT,2026-03-04T16:00:00+00:00,2026-03-07T00:00:00+00:00,LONG_DCA,3,1360.05,34.8934,2.57,56.0
23,HBAR/USDT,2026-03-07T01:00:00+00:00,2026-03-08T00:00:00+00:00,LONG_DCA,1,627.96,42.5489,6.78,23.0
24,HBAR/USDT,2026-03-08T01:00:00+00:00,2026-03-09T00:00:00+00:00,LONG_DCA,1,636.44,62.9986,9.9,23.0
25,HBAR/USDT,2026-03-09T01:00:00+00:00,2026-03-09T05:00:00+00:00,LONG_DCA,1,649.0,22.0951,3.4,4.0
26,HBAR/USDT,2026-03-09T06:00:00+00:00,2026-03-10T00:00:00+00:00,LONG_DCA,1,653.38,66.4082,10.16,18.0
16,XRP/USDT,2026-03-04T16:00:00+00:00,2026-03-10T14:00:00+00:00,LONG_DCA,4,1555.06,44.9371,2.89,142.0
22,ADA/USDT,2026-03-05T13:00:00+00:00,2026-03-10T14:00:00+00:00,LONG_DCA,4,1606.99,61.5156,3.83,121.0
19,SOL/USDT,2026-03-04T20:00:00+00:00,2026-03-13T01:00:00+00:00,LONG_DCA,5,1717.06,63.7757,3.71,197.0
